SK_ID_CURR,TARGET,NAME_CONTRACT_TYPE_x,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,AMT_CREDIT_x,AMT_ANNUITY_x,AMT_GOODS_PRICE_x,NAME_TYPE_SUITE_x,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,REGION_POPULATION_RELATIVE,DAYS_BIRTH,DAYS_EMPLOYED,DAYS_REGISTRATION,DAYS_ID_PUBLISH,OCCUPATION_TYPE,CNT_FAM_MEMBERS,ORGANIZATION_TYPE,OBS_30_CNT_SOCIAL_CIRCLE,DEF_30_CNT_SOCIAL_CIRCLE,OBS_60_CNT_SOCIAL_CIRCLE,DEF_60_CNT_SOCIAL_CIRCLE,DAYS_LAST_PHONE_CHANGE,AMT_REQ_CREDIT_BUREAU_HOUR,AMT_REQ_CREDIT_BUREAU_DAY,AMT_REQ_CREDIT_BUREAU_WEEK,AMT_REQ_CREDIT_BUREAU_MON,AMT_REQ_CREDIT_BUREAU_QRT,AMT_REQ_CREDIT_BUREAU_YEAR,SK_ID_PREV,NAME_CONTRACT_TYPE_y,AMT_ANNUITY_y,AMT_APPLICATION,AMT_CREDIT_y,AMT_DOWN_PAYMENT,AMT_GOODS_PRICE_y,RATE_DOWN_PAYMENT,RATE_INTEREST_PRIMARY,RATE_INTEREST_PRIVILEGED,NAME_CASH_LOAN_PURPOSE,NAME_CONTRACT_STATUS,DAYS_DECISION,NAME_PAYMENT_TYPE,CODE_REJECT_REASON,NAME_TYPE_SUITE_y,NAME_CLIENT_TYPE,NAME_PORTFOLIO,NAME_PRODUCT_TYPE,CHANNEL_TYPE,SELLERPLACE_AREA,NAME_SELLER_INDUSTRY,CNT_PAYMENT,NAME_YIELD_GROUP,PRODUCT_COMBINATION,DAYS_FIRST_DRAWING,DAYS_FIRST_DUE,DAYS_LAST_DUE_1ST_VERSION,DAYS_LAST_DUE,DAYS_TERMINATION,NFLAG_INSURED_ON_APPROVAL
100077,0,Cash loans,M,N,Y,0,180000.0,1256400.0,40657.5,900000.0,Unaccompanied,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,0.072508,12049,579,6105,1,Core staff,1.0,Police,4.0,0.0,4.0,0.0,295.0,0.0,0.0,0.0,0.0,0.0,8.0,2562193,Revolving loans,2250.0,45000.0,45000.0,,45000.0,,,,XAP,Approved,217,XNA,XAP,Unaccompanied,Repeater,Cards,walk-in,Credit and cash offices,-1,XNA,0.0,XNA,Card Street,,,,,,
100078,0,Cash loans,F,Y,Y,0,180000.0,1035000.0,43983.0,1035000.0,Unaccompanied,State servant,Higher education,Married,House / apartment,0.028663,19550,4856,6836,3084,Core staff,2.0,Government,0.0,0.0,0.0,0.0,1594.0,0.0,0.0,0.0,0.0,0.0,3.0,1373453,Cash loans,11250.0,0.0,0.0,,11232.0,,,,XNA,Canceled,22,XNA,XAP,,Repeater,XNA,XNA,Credit and cash offices,-1,XNA,16.0,XNA,Cash,,,,,,
100095,0,Revolving loans,F,N,Y,2,67500.0,135000.0,6750.0,135000.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.020246,18693,1434,10255,2241,Sales staff,4.0,Trade: type 7,0.0,0.0,0.0,0.0,1040.0,0.0,0.0,0.0,0.0,0.0,1.0,2493293,Consumer loans,11250.0,52911.0,52911.0,0.0,52911.0,0.0,,,XAP,Refused,600,Cash through the bank,HC,,New,XNA,XNA,Country-wide,35,Connectivity,16.0,XNA,POS mobile with interest,,,,,,
100121,0,Cash loans,M,N,Y,0,126000.0,787131.0,26145.0,679500.0,Unaccompanied,Working,Secondary / secondary special,Married,With parents,0.018209,16798,669,9388,347,Low-skill Laborers,2.0,Business Entity Type 2,5.0,2.0,5.0,2.0,319.0,1.0,1.0,0.0,0.0,0.0,1.0,2117048,Consumer loans,3551.85,18441.0,17419.5,1845.0,18441.0,0.104304432,,,XAP,Approved,1987,Cash through the bank,XAP,Unaccompanied,Repeater,POS,XNA,Stone,21,Connectivity,6.0,high,POS mobile with interest,365243.0,-1951.0,-1801.0,-1801.0,-1769.0,0.0
100124,0,Cash loans,M,N,Y,0,225000.0,448272.0,28647.0,396000.0,Unaccompanied,Pensioner,Secondary / secondary special,Widow,House / apartment,0.072508,24051,365243,7040,4053,Laborers,1.0,XNA,0.0,0.0,0.0,0.0,1080.0,0.0,0.0,0.0,0.0,1.0,8.0,1986247,Consumer loans,7598.34,62491.5,62491.5,0.0,62491.5,0.0,,,XAP,Approved,312,Cash through the bank,XAP,Unaccompanied,Repeater,POS,XNA,Country-wide,50,Connectivity,12.0,high,POS mobile with interest,365243.0,-278.0,52.0,-98.0,-94.0,0.0
100144,0,Cash loans,F,N,N,0,112500.0,535500.0,30028.5,535500.0,Unaccompanied,Working,Secondary / secondary special,Separated,House / apartment,0.028663,16759,4560,3079,296,Sales staff,1.0,Self-employed,9.0,2.0,9.0,0.0,1282.0,0.0,0.0,0.0,0.0,0.0,1.0,1370544,Cash loans,10698.075,157500.0,157500.0,,157500.0,,,,XNA,Approved,100,Cash through the bank,XAP,Unaccompanied,Repeater,Cash,x-sell,Credit and cash offices,-1,XNA,18.0,low_normal,Cash X-Sell: low,365243.0,-70.0,440.0,365243.0,365243.0,0.0
100151,0,Cash loans,M,N,N,0,135000.0,182016.0,11772.0,144000.0,Unaccompanied,Commercial associate,Higher education,Single / not married,House / apartment,0.019101,16522,1451,4101,66,Accountants,1.0,Business Entity Type 3,0.0,0.0,0.0,0.0,398.0,0.0,0.0,0.0,0.0,1.0,1.0,1614986,Cash loans,6535.8,45000.0,55075.5,,45000.0,,,,XNA,Approved,1041,Cash through the bank,XAP,Unaccompanied,New,Cash,walk-in,Credit and cash offices,-1,XNA,12.0,high,Cash Street: high,365243.0,-1011.0,-681.0,-681.0,-672.0,1.0
100153,0,Cash loans,M,Y,Y,0,202500.0,1107981.0,32526.0,967500.0,Family,Working,Secondary / secondary special,Married,House / apartment,0.031329,18413,1895,10826,1947,Drivers,2.0,Construction,0.0,0.0,0.0,0.0,1192.0,0.0,0.0,0.0,0.0,0.0,5.0,2452156,Cash loans,11250.0,0.0,0.0,,11232.0,,,,XNA,Canceled,211,XNA,XAP,,Repeater,XNA,XNA,Credit and cash offices,-1,XNA,16.0,XNA,Cash,,,,,,
100188,0,Cash loans,F,N,N,1,225000.0,1325475.0,56290.5,1125000.0,Unaccompanied,Working,Higher education,Married,Office apartment,0.002506,15323,5785,5368,3602,Core staff,3.0,School,0.0,0.0,0.0,0.0,573.0,0.0,0.0,0.0,1.0,0.0,1.0,1303247,Revolving loans,11250.0,0.0,0.0,,11232.0,,,,XAP,Canceled,314,XNA,XAP,,Repeater,XNA,XNA,Credit and cash offices,-1,XNA,16.0,XNA,Card Street,,,,,,
100190,0,Cash loans,M,Y,N,0,162000.0,263686.5,24781.5,238500.0,Unaccompanied,Commercial associate,Higher education,Married,House / apartment,0.022625,13972,4472,464,4529,Laborers,2.0,Government,5.0,0.0,5.0,0.0,1161.0,0.0,0.0,0.0,0.0,0.0,3.0,2430397,Cash loans,13236.255,112500.0,119925.0,0.0,112500.0,0.0,,,XNA,Approved,1998,Cashless from the account of the employer,XAP,Unaccompanied,Repeater,Cash,x-sell,Credit and cash offices,-1,XNA,12.0,high,Cash Street: high,365243.0,-1968.0,-1638.0,-1638.0,-1636.0,1.0
100193,0,Cash loans,F,Y,N,0,225000.0,296280.0,15124.5,225000.0,Unaccompanied,Commercial associate,Secondary / secondary special,Separated,House / apartment,0.020246,17879,940,2294,1441,Laborers,1.0,Other,1.0,0.0,1.0,0.0,2553.0,0.0,0.0,0.0,1.0,1.0,6.0,1627035,Cash loans,11250.0,0.0,0.0,,11232.0,,,,XNA,Canceled,412,XNA,XAP,,Repeater,XNA,XNA,Credit and cash offices,-1,XNA,16.0,XNA,Cash,,,,,,
100194,0,Revolving loans,F,N,Y,2,157500.0,315000.0,15750.0,315000.0,Unaccompanied,Working,Higher education,Civil marriage,House / apartment,0.020246,12805,5258,3262,3884,Laborers,4.0,Industry: type 3,0.0,0.0,0.0,0.0,215.0,0.0,0.0,0.0,0.0,1.0,2.0,2704631,Consumer loans,7861.95,74092.5,74092.5,0.0,74092.5,0.0,,,XAP,Approved,292,Cash through the bank,XAP,,Repeater,POS,XNA,Country-wide,90,Jewelry,12.0,middle,POS other with interest,365243.0,-259.0,71.0,365243.0,365243.0,0.0
100201,0,Cash loans,F,N,Y,1,180000.0,675000.0,36747.0,675000.0,Unaccompanied,Commercial associate,Higher education,Single / not married,House / apartment,0.035792,12147,2178,6189,1719,Core staff,2.0,Trade: type 2,10.0,0.0,10.0,0.0,1754.0,0.0,0.0,0.0,0.0,3.0,6.0,2227969,Consumer loans,3828.555,38610.0,29610.0,9000.0,38610.0,0.253867345,,,XAP,Approved,2424,Cash through the bank,XAP,Family,Repeater,POS,XNA,Country-wide,31,Connectivity,10.0,high,POS mobile with interest,365243.0,-2393.0,-2123.0,-2123.0,-2120.0,0.0
100206,0,Cash loans,M,Y,N,1,157500.0,318528.0,25294.5,252000.0,Unaccompanied,Commercial associate,Secondary / secondary special,Married,House / apartment,0.0228,12027,1720,3867,4420,Drivers,3.0,Business Entity Type 3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1144340,Cash loans,35613.0,1350000.0,1350000.0,,1350000.0,,,,XNA,Refused,1296,Cash through the bank,SCO,Unaccompanied,Repeater,Cash,walk-in,Credit and cash offices,-1,XNA,60.0,low_action,Cash Street: low,,,,,,
100220,0,Cash loans,F,N,Y,0,225000.0,1040985.0,30568.5,909000.0,Unaccompanied,Commercial associate,Higher education,Single / not married,House / apartment,0.003818,14823,185,1147,4138,Sales staff,1.0,Self-employed,2.0,0.0,2.0,0.0,1898.0,0.0,0.0,0.0,0.0,2.0,1.0,2772902,Consumer loans,20966.4,108513.0,113886.0,0.0,108513.0,0.0,,,XAP,Approved,2413,Cash through the bank,XAP,Unaccompanied,New,POS,XNA,Regional / Local,14,Consumer electronics,6.0,middle,POS household with interest,365243.0,-2382.0,-2232.0,-2292.0,-2284.0,1.0
100224,0,Cash loans,F,Y,Y,2,225000.0,1256400.0,36864.0,900000.0,Unaccompanied,Commercial associate,Secondary / secondary special,Married,House / apartment,0.019689,14091,5664,8127,2462,Laborers,4.0,Business Entity Type 3,4.0,2.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1052614,Consumer loans,8035.11,61150.5,69223.5,0.0,61150.5,0.0,,,XAP,Approved,51,Cash through the bank,XAP,"Spouse, partner",Repeater,POS,XNA,Country-wide,240,Consumer electronics,10.0,low_normal,POS household with interest,365243.0,-21.0,249.0,365243.0,365243.0,1.0
100226,0,Revolving loans,F,N,N,2,112500.0,270000.0,13500.0,270000.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.009657,13584,680,350,2097,Sales staff,4.0,Self-employed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2070251,Consumer loans,13315.905,95395.5,72009.0,27000.0,95395.5,0.296997794,,,XAP,Approved,142,Cash through the bank,XAP,Family,Repeater,POS,XNA,Country-wide,2400,Consumer electronics,6.0,middle,POS household with interest,365243.0,-110.0,40.0,365243.0,365243.0,0.0
100243,0,Cash loans,M,N,Y,0,112500.0,161730.0,13833.0,135000.0,Unaccompanied,Working,Higher education,Married,House / apartment,0.028663,9720,573,689,2193,Laborers,2.0,Business Entity Type 3,3.0,0.0,3.0,0.0,1197.0,0.0,0.0,0.0,0.0,0.0,3.0,1223122,Cash loans,28614.735,337500.0,422982.0,,337500.0,,,,Repairs,Approved,460,XNA,XAP,,Repeater,Cash,walk-in,AP+ (Cash loan),4,XNA,36.0,high,Cash Street: high,365243.0,-430.0,620.0,-70.0,-63.0,1.0
100254,0,Cash loans,M,Y,Y,0,292500.0,1078200.0,34911.0,900000.0,Unaccompanied,Commercial associate,Higher education,Married,House / apartment,0.04622,21646,2127,381,4264,Drivers,2.0,Business Entity Type 3,2.0,1.0,2.0,1.0,307.0,0.0,0.0,0.0,0.0,0.0,3.0,1993128,Cash loans,11250.0,0.0,0.0,,11232.0,,,,XNA,Canceled,307,XNA,XAP,,Repeater,XNA,XNA,Credit and cash offices,-1,XNA,16.0,XNA,Cash,,,,,,
100258,0,Cash loans,F,N,Y,0,135000.0,81000.0,9135.0,81000.0,Unaccompanied,Working,Secondary / secondary special,Civil marriage,House / apartment,0.025164,16273,1605,939,1092,Cooking staff,2.0,Restaurant,6.0,0.0,6.0,0.0,364.0,0.0,0.0,0.0,0.0,0.0,1.0,2210163,Consumer loans,16893.585,166689.0,180990.0,0.0,166689.0,0.0,,,XAP,Approved,364,Cash through the bank,XAP,Unaccompanied,New,POS,XNA,Country-wide,2390,Consumer electronics,12.0,low_normal,POS household with interest,365243.0,-333.0,-3.0,-33.0,-30.0,0.0
100279,0,Cash loans,M,N,Y,0,180000.0,254700.0,16407.0,225000.0,Unaccompanied,Pensioner,Secondary / secondary special,Widow,House / apartment,0.072508,23946,365243,6935,3948,Laborers,1.0,XNA,0.0,0.0,0.0,0.0,975.0,0.0,0.0,0.0,0.0,1.0,5.0,2034342,Cash loans,11250.0,0.0,0.0,,11232.0,,,,XNA,Canceled,382,XNA,XAP,,Repeater,XNA,XNA,Credit and cash offices,-1,XNA,16.0,XNA,Cash,,,,,,
100281,0,Cash loans,F,N,Y,1,112500.0,675000.0,21906.0,675000.0,Unaccompanied,Commercial associate,Secondary / secondary special,Widow,House / apartment,0.025164,17957,4942,7868,1478,Sales staff,2.0,Self-employed,0.0,0.0,0.0,0.0,1631.0,0.0,0.0,0.0,1.0,0.0,1.0,1158695,Cash loans,19021.005,360000.0,420912.0,,360000.0,,,,XNA,Approved,969,Cash through the bank,XAP,Unaccompanied,Repeater,Cash,x-sell,AP+ (Cash loan),6,XNA,36.0,middle,Cash X-Sell: middle,365243.0,-939.0,111.0,-339.0,-314.0,1.0
100291,0,Cash loans,F,N,N,1,153000.0,292500.0,14355.0,292500.0,Unaccompanied,Working,Incomplete higher,Married,House / apartment,0.015221,11881,716,2283,4417,Sales staff,3.0,Self-employed,0.0,0.0,0.0,0.0,502.0,0.0,0.0,0.0,0.0,0.0,3.0,2841846,Consumer loans,7780.41,49500.0,41562.0,9900.0,49500.0,0.209513816,,,XAP,Approved,1949,Non-cash from your account,XAP,Group of people,Repeater,POS,XNA,Stone,60,Furniture,6.0,middle,POS industry with interest,365243.0,-1918.0,-1768.0,-1768.0,-1761.0,0.0
100293,0,Cash loans,F,N,Y,0,202500.0,1271281.5,65956.5,1201500.0,Family,Working,Higher education,Married,House / apartment,0.019101,14247,2993,3842,4142,Managers,2.0,Transport: type 4,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1874254,Revolving loans,6750.0,135000.0,135000.0,,135000.0,,,,XAP,Approved,229,XNA,XAP,Family,Repeater,Cards,x-sell,Credit and cash offices,-1,XNA,0.0,XNA,Card X-Sell,365243.0,365243.0,365243.0,365243.0,365243.0,0.0
100297,0,Cash loans,M,Y,N,0,135000.0,334152.0,17059.5,270000.0,Family,Working,Secondary / secondary special,Married,House / apartment,0.026392,10427,1274,2609,3027,Drivers,2.0,Self-employed,2.0,1.0,2.0,0.0,1002.0,0.0,0.0,0.0,0.0,0.0,1.0,1915179,Consumer loans,21271.185,111195.0,117067.5,0.0,111195.0,0.0,,,XAP,Approved,1002,XNA,XAP,Unaccompanied,Refreshed,POS,XNA,Stone,150,Industry,6.0,middle,POS other with interest,365243.0,-962.0,-812.0,-812.0,-803.0,0.0
100307,0,Cash loans,M,N,Y,0,225000.0,451804.5,35824.5,369000.0,Unaccompanied,State servant,Secondary / secondary special,Married,House / apartment,0.01885,16546,1480,2196,7,Managers,2.0,Military,2.0,1.0,2.0,0.0,745.0,0.0,0.0,0.0,0.0,0.0,4.0,2685304,Cash loans,11250.0,0.0,0.0,,11232.0,,,,XNA,Canceled,144,XNA,XAP,,Repeater,XNA,XNA,Credit and cash offices,-1,XNA,16.0,XNA,Cash,,,,,,
100310,0,Cash loans,M,N,N,0,180000.0,1071000.0,31315.5,1071000.0,Unaccompanied,Working,Higher education,Married,Rented apartment,0.018029,14659,1228,688,1107,Laborers,2.0,Business Entity Type 3,0.0,0.0,0.0,0.0,89.0,0.0,0.0,0.0,1.0,0.0,2.0,1679603,Consumer loans,7364.385,147582.0,62649.0,90000.0,147582.0,0.642114798,,,XAP,Refused,553,Cash through the bank,LIMIT,,Repeater,POS,XNA,Country-wide,1375,Consumer electronics,10.0,middle,POS household with interest,,,,,,
100324,0,Cash loans,F,Y,Y,1,112500.0,152820.0,18265.5,135000.0,Unaccompanied,Commercial associate,Secondary / secondary special,Separated,House / apartment,0.003069,10471,1753,4922,2885,Sales staff,2.0,Self-employed,0.0,0.0,0.0,0.0,1957.0,0.0,0.0,0.0,0.0,0.0,1.0,2079853,Cash loans,15654.645,234000.0,293818.5,,234000.0,,,,XNA,Approved,338,Cash through the bank,XAP,Other_A,Repeater,Cash,x-sell,Credit and cash offices,-1,XNA,24.0,low_normal,Cash X-Sell: low,365243.0,-308.0,382.0,365243.0,365243.0,1.0
100347,0,Cash loans,F,N,N,0,81000.0,640080.0,23121.0,450000.0,Unaccompanied,Pensioner,Secondary / secondary special,Married,House / apartment,0.018801,21419,365243,13511,4287,Laborers,2.0,XNA,0.0,0.0,0.0,0.0,494.0,0.0,0.0,0.0,0.0,0.0,3.0,2010897,Cash loans,18821.52,180000.0,191880.0,,180000.0,,,,XNA,Approved,1164,Cash through the bank,XAP,Unaccompanied,Repeater,Cash,x-sell,Credit and cash offices,-1,XNA,12.0,low_normal,Cash X-Sell: low,365243.0,-1134.0,-804.0,-804.0,-797.0,1.0
100350,0,Cash loans,F,N,Y,0,112500.0,481495.5,31833.0,454500.0,Unaccompanied,Pensioner,Secondary / secondary special,Married,House / apartment,0.0105,22759,365243,124,2596,Laborers,2.0,XNA,0.0,0.0,0.0,0.0,1711.0,0.0,0.0,0.0,0.0,0.0,4.0,2766534,Cash loans,23153.985,450000.0,512370.0,,450000.0,,,,XNA,Refused,538,Cash through the bank,HC,,Repeater,Cash,x-sell,Credit and cash offices,-1,XNA,36.0,middle,Cash X-Sell: middle,,,,,,
100360,0,Revolving loans,F,N,N,0,67500.0,202500.0,10125.0,202500.0,Unaccompanied,Commercial associate,Secondary / secondary special,Married,House / apartment,0.025164,19676,4483,5545,3236,Laborers,2.0,Housing,0.0,0.0,0.0,0.0,1232.0,0.0,0.0,1.0,0.0,0.0,2.0,2290249,Cash loans,14352.93,225000.0,254700.0,,225000.0,,,,XNA,Approved,101,Cash through the bank,XAP,Unaccompanied,Refreshed,Cash,x-sell,Credit and cash offices,-1,XNA,24.0,low_normal,Cash X-Sell: low,365243.0,-71.0,619.0,365243.0,365243.0,1.0
100369,0,Cash loans,F,N,Y,0,157500.0,528633.0,22527.0,472500.0,Unaccompanied,Commercial associate,Secondary / secondary special,Married,House / apartment,0.0105,19323,571,67,2779,Laborers,2.0,Self-employed,0.0,0.0,0.0,0.0,459.0,0.0,0.0,0.0,0.0,2.0,1.0,2828801,Cash loans,11250.0,0.0,0.0,,11232.0,,,,XNA,Canceled,56,XNA,XAP,,Repeater,XNA,XNA,Credit and cash offices,-1,XNA,16.0,XNA,Cash,,,,,,
100373,0,Cash loans,F,N,N,0,225000.0,906228.0,46269.0,810000.0,Unaccompanied,State servant,Secondary / secondary special,Married,House / apartment,0.030755,15013,3282,2347,4823,Core staff,2.0,School,0.0,0.0,0.0,0.0,1053.0,0.0,0.0,0.0,0.0,0.0,0.0,1891648,Consumer loans,10872.99,115695.0,115119.0,11569.5,115695.0,0.099458414,,,XAP,Approved,1053,Cash through the bank,XAP,Unaccompanied,New,POS,XNA,Stone,25,Industry,12.0,low_normal,POS household with interest,365243.0,-1013.0,-683.0,-713.0,-709.0,0.0
